tweet,username,date,likes,retweets,url,cluster
"@InvesysCapital Observe tha news flow. 
1. Suddenly Politician are talking about new cases 
2. Then some of them ge… https://t.co/ytwX98yDGm",TurtleWay1819,Mon Feb 22 17:46:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907921331986432,0.0
The #COVID19 pandemic has affected #neuroscientists seeking postdoc or faculty positions as they are faced with hir… https://t.co/MhhLhCkMyk,SfNtweets,Mon Feb 22 17:46:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907920006676481,0.0
What's worst about how the UK has handled this pandemic is the way its driven divides between people and I'm not ev… https://t.co/8QI5LZDpdZ,Jontys_Corner,Mon Feb 22 17:46:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907921139105808,0.0
"Next time you make a quick stop downtown to grab food or other supplies, keep a look out for the curbside pickup si… https://t.co/2hXu57zZo1",JohnstownColo,Mon Feb 22 17:46:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907918505144330,0.0
"We are your children so don’t risk the students, there is a disease COVID-19 so protect your children, we are waiti… https://t.co/f7XSdQi4vE",Mohamad08343861,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907909302812672,0.0
@MeggyGarol Actor and producer but also love to write (I literally dream in film. I'm working to reach my potential… https://t.co/A6YpAIi82G,TimothyPeacock4,Mon Feb 22 17:45:59 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907904483385346,0.0
"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/453WNH4sOo",beichenberger2,Mon Feb 22 17:45:55 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907887916077061,0.0
"@WilliamsRuto With due respect sir, you need to check the photos before you post them. It behoves on you as the Dep… https://t.co/jD0DXVLQBz",MsambwaYa,Mon Feb 22 17:45:55 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907887354048516,0.0
"Today, Feb. 22nd",sastenio,Mon Feb 22 17:45:54 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907886095749129,0.0
The US population is forced corrupt CIA-Mossad organized crime linked dynasties like the Clintons and McCains. John… https://t.co/AwjsdoNiqd,IranianAdvocate,Mon Feb 22 17:45:53 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907880391487488,0.0
