tweet,username,date,likes,retweets,url,cluster
"""From Koreatown in Los Angeles to Greenwich Village in New York City, Asians have been harassed, pushed, spit upon… https://t.co/xmydPv514z",CourierAmie,Mon Feb 22 17:27:14 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363903188538122246,0.0
tweet,username,date,likes,retweets,url,cluster
Sour Grapes backfiring badly,Richard170348,Mon Feb 22 17:46:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907923991216135,2.0
"@InvesysCapital Observe tha news flow. 
1. Suddenly Politician are talking about new cases 
2. Then some of them ge… https://t.co/ytwX98yDGm",TurtleWay1819,Mon Feb 22 17:46:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907921331986432,0.0
The #COVID19 pandemic has affected #neuroscientists seeking postdoc or faculty positions as they are faced with hir… https://t.co/MhhLhCkMyk,SfNtweets,Mon Feb 22 17:46:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907920006676481,0.0
What's worst about how the UK has handled this pandemic is the way its driven divides between people and I'm not ev… https://t.co/8QI5LZDpdZ,Jontys_Corner,Mon Feb 22 17:46:03 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907921139105808,0.0
"Next time you make a quick stop downtown to grab food or other supplies, keep a look out for the curbside pickup si… https://t.co/2hXu57zZo1",JohnstownColo,Mon Feb 22 17:46:02 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907918505144330,0.0
UN to rich nations: Don’t undermine Covax vaccine program https://t.co/IS73SS5Br9,Khabrinewsindia,Mon Feb 22 17:46:01 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907913681575936,1.0
@LiloStainton @NJSpotlightNews @colleenodea @HudCoTweet @GovMurphy should increase vaccine supply to Jersey City an… https://t.co/2horWgFPKf,garymurphy30,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907911731326977,1.0
The Do’s and Don’ts on Social Media for Vaccine Haves and Have-Nots - #GAYNRD https://t.co/f3RFXUqISW,NrdGay,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907910569451524,1.0
@ya_taiem The reason behind taking the vaccine is for the body to produce antibodies against the virus because you… https://t.co/DID6cxZCJo,11Shortyjd,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907909713883136,1.0
"We are your children so don’t risk the students, there is a disease COVID-19 so protect your children, we are waiti… https://t.co/f7XSdQi4vE",Mohamad08343861,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907909302812672,0.0
"Aviation COVID-19: As vaccine inequality worsens, UK calls for vaccination ceasefire  https://t.co/tguz5hy0ck",OfsMax,Mon Feb 22 17:46:00 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907908447195148,1.0
@MeggyGarol Actor and producer but also love to write (I literally dream in film. I'm working to reach my potential… https://t.co/A6YpAIi82G,TimothyPeacock4,Mon Feb 22 17:45:59 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907904483385346,0.0
"Exciting NEWS about COVID-19 Vaccinations in Habersham County!
Governor Brian Kemp announced that Habersham County… https://t.co/mmjHwBoBGx",HabershamMed,Mon Feb 22 17:45:58 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907901094584320,1.0
"@lumin8 Ah. Friggin CTV. I will probably never know what it’s like to own a home, much less two. I struggle to find… https://t.co/Yssnox6c9M",KJadeYeg,Mon Feb 22 17:45:58 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907900746305536,2.0
Attention citizens! Your Dept. Of Pandemia regrets to inform you things remain terrible and you all need the vaccin… https://t.co/4m2HAYuZ3n,AlexBerenson,Mon Feb 22 17:45:57 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907896883503111,1.0
@VAKruta @rumrac @MeghanMcCain The reality is that no vaccine protects you 100% from contracting the virus.,toots717,Mon Feb 22 17:45:57 +0000 2021,0,0,https://twitter.com/twitter/statuses/1363907895163817989,1.0
