tweet,username,date,hashtags,likes,retweets,url
In other good news I'll be able to book my 2nd Pfizer Covid-19 vaccine dose this Thursday! Which will mean that I'l… https://t.co/wRIX9YYwxT,Grasping_kulak,Mon Feb 22 17:43:12 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907205322465280
"If you are looking for an appt, here's some good sources of info:

COVID-19 Vaccine Signup Lists:… https://t.co/kFvN32Pudq",DanMcConchie,Mon Feb 22 17:43:04 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907169398239232
"@piersmorgan If you really want a good question to ask the Politicians is “What is the wastage rate of the vaccine,… https://t.co/mVcLCzQhaE",MattHumpo,Mon Feb 22 17:41:24 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906753428086784
@AliAbunimah Who in their right mind would even suggest that it's good for Palestinians not to get the vaccine ? Is this for real ?,agnosticsberlin,Mon Feb 22 17:40:57 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906637803769856
@Nigel_Farage Good job millions have had the vaccine to speed things up not .,roy_atkin,Mon Feb 22 17:40:54 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906627749953537
Good question. I think those who don't take the vaccine will still be having a much stronger immune system than tho… https://t.co/hPN3RnkWNC,Milena52769243,Mon Feb 22 17:39:13 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906201222840322
Some good news here! #COVIDー19 vaccine distribution should rebound by midweek after last week's winter storm delays… https://t.co/z0Qf0lPfBp,FreightWeather,Mon Feb 22 17:38:42 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363906073292386307
"@george_spanky @ejsgale @RichardAngwin So, setting up the logistics to quickly roll out the vaccine was not a good enough beginning for you?",cadjine,Mon Feb 22 17:38:10 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905939489886215
"AKA Vaccine Passports...

'Sir, can I see your papers' 🧐

#fuckedupshit #boris #NOGOOD #COVID19 #lies 

No Good...",NoGood46453905,Mon Feb 22 17:37:37 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905801639837699
Good vaccine news. The Pfizer vaccine stops community spread of Covid by 89%. That’s some major breathing room.  https://t.co/2ztMDImbXv,kathieallenmd,Mon Feb 22 17:37:08 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905676473368577
"i mean, i really want good news. can we get a vaccine update, too? i mean, how are we looking with that?",sheseesred,Mon Feb 22 17:36:21 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905479806750724
"Well @BorisJohnson please give a date where masks are optional &amp; no vaccine passports , as if vax good they don't need worry if ppl haven't",Greyadder,Mon Feb 22 17:35:43 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905321719242759
Should we focus the vaccine on those over 65? Seems like a good idea by @SimonWDC https://t.co/gtxdLsB4fw,VoiceOfFranky,Mon Feb 22 17:35:39 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905305134923782
"@_aswesterman Although the Pfizer vaccine is a good start, I am fairly sure that the Johnson&amp;Johnson/Jensen vaccine… https://t.co/2a9tNccF8V",tomkimmerer,Mon Feb 22 17:35:36 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905293474742273
@DIorioNathaniel 10-15 million doses of the JNJ vaccine and y'all should be good.,ScuvyBob,Mon Feb 22 17:34:58 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905134670061569
Good job! We need to stick with mRNA vaccines as it’s likely that variants will be around for sometime and it’s lik… https://t.co/PiCUhlSMML,wesSE22020,Mon Feb 22 17:34:45 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905079930204163
@skarlamangla Could be even less if we had a proper vaccine rollout. 233 deaths is good news? Tell that to their grieving families,JJKickz,Mon Feb 22 17:34:28 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363905006601035778
tweet,username,date,hashtags,likes,retweets,url
@markNbrogs @bigbencorrie This time it makes no difference 💙 the data from the Pfizer vaccine shows the way out is… https://t.co/v17G7migyJ,grandadsblue,Mon Feb 22 17:45:42 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907834585440259
New study shows high protection from one dose of Pfizer vaccine https://t.co/HOgb4hVRGw,FullIrishNews,Mon Feb 22 17:45:34 +0000 2021,[],0,0,https://twitter.com/twitter/statuses/1363907799735021574
